employer_group;employer_name;employer_id2;employer_type;employer_id
TeamIdea (ООО ТИМИДЕЯ ГРУПП) ;TeamIdea (ООО ТИМИДЕЯ ГРУПП), ООО 23;https://voronezh.hh.ru/employer/567928;IT;567928
T-Systems RUS ;T-Systems RUS 77;https://voronezh.hh.ru/employer/25;IT;25
T-Systems RUS ;;;IT;
АО РТ Лабс ;РТ Лабс, АО 48;https://voronezh.hh.ru/employer/894410;IT;894410
Атос АйТи Солюшенс энд Сервисез ;Атос АйТи Солюшенс энд Сервисез, ООО 237;https://voronezh.hh.ru/employer/725989;IT;725989
Лига Цифровой Экономики ;Лига Цифровой Экономики 163;https://voronezh.hh.ru/employer/2733062;IT;2733062
Неофлекс ;Неофлекс, ООО 56;https://voronezh.hh.ru/employer/22494;IT;22494
ООО Egamings, филиал г. Псков ;Egamings, филиал г. Псков, ООО 16;https://voronezh.hh.ru/employer/2661787;IT;2661787
ООО Натчез Трэйс ;Натчез Трэйс, ООО 1;https://voronezh.hh.ru/employer/2314866;IT;2314866
ООО ОТР ;ОТР, ООО 283;https://voronezh.hh.ru/employer/11749;IT;11749
ООО ТекФорс Инжиниринг ;ТекФорс Инжиниринг, ООО 20;https://voronezh.hh.ru/employer/934019;IT;934019
ООО Энкри ;Энкри, ООО 2;https://voronezh.hh.ru/employer/2815033;IT;2815033
Рексофт ;Рексофт, ООО 20;https://voronezh.hh.ru/employer/3984;IT;3984
РЕЛЭКС ;РЕЛЭКС, ООО 8;https://voronezh.hh.ru/employer/49507;IT;49507
Синимекс ;Синимекс, ООО 6;https://voronezh.hh.ru/employer/6944;IT;6944
Яндекс;Яндекс, ООО 2853;https://voronezh.hh.ru/employer/1740;IT;1740
Яндекс;Яндекс.Деньги, НКО, ООО 37;https://voronezh.hh.ru/employer/655542;IT;655542
Rambler;Rambler Group 36;https://voronezh.hh.ru/employer/8620;IT;8620
