employer_group;employer_name;employer_type;employer_id
Центр онлайн-обучения „Нетология-групп“;Центр онлайн-обучения „Нетология-групп“ 51;IT;855219
ЦНИИАГ;ЦНИИАГ 93;IT;1075252
Ланит;Datana (ГК ЛАНИТ) 4;IT;4470218
Ланит;diHouse (ГК ЛАНИТ) 4;IT;2651885
Ланит;Treolan (ГК ЛАНИТ) 13;IT;2651941
Ланит;ИНСИСТЕМС (ГК ЛАНИТ) 17;IT;2651911
Ланит;ЛАН АТМсервис (ГК ЛАНИТ) 12;IT;2651937
Ланит;ЛАНИТ, АО 14;IT;733
Ланит;ЛАНИТ БиПиЭм 10;IT;2651905
Ланит;ЛАНИТ- Интеграция 29;IT;2651938
Ланит;ЛАНИТ Северо-Запад 3;IT;2651960
Ланит;ЛАНИТ-СИБИРЬ, ООО 1;IT;2247417
Ланит;ЛАНИТ-ТЕРКОМ 8;IT;2651962
Ланит;ЛАНИТ-ТЕХНОЛОГИИ 53;IT;2651978
Ланит;ЛАНТЕР (ГК ЛАНИТ) 17;IT;2651980
Ланит;ОНЛАНТА (ГК ЛАНИТ) 19;IT;2651933
Ланит;Сетевая академия (ГК ЛАНИТ) 2;IT;2652013
Epam;EPAM, ООО 2;IT;29470
Epam;EPAM Systems, Inc. 184;IT;6769
Softline;Softline 269;IT;2381
1С**;1C-Битрикс, ООО 28;IT;129044
1С**;1C-Рарус, ООО 123;IT;172
1С**;1С, ЗАО 83;IT;882
1С**;1С International 5;IT;3271505
1С**;1С-АВТОМАТИЗАЦИЯ 1;IT;3769
1С**;1С:Апрель Софт 19;IT;71370
1С**;1С-Архитектор бизнеса 11;IT;2235
1С**;1С БИЗНЕС РЕШЕНИЯ, ООО 12;IT;1852940
1С**;1С:ВДГБ, ООО 4;IT;17954
1С**;1С-ВЕКТРО, ООО 3;IT;181541
1С**;1С-Галэкс 5;IT;159758
1С**;1С-ИжТиСи 13;IT;805729
1С**;1С-Коннект 2;IT;1227731
1С**;1С-КПД, ООО 6;IT;555869
1С**;1С Онлайн Геймс, ООО 24;IT;2948126
1С**;1С-Поволжье, ООО 2;IT;128408
1С**;1С-СофтКлаб, ООО 34;IT;6376
1С**;1С-Старт, ООО 14;IT;1999869
1С**;1С:Франчайзи Виктория СПб 1;IT;934705
1С**;1С Франчайзи: Лотос 1;IT;3545921
Лаборатория Касперского*;Лаборатория Касперского, ООО 109;IT;1057
ITG (INLINE Technologies Group);INLINE Technologies, ООО 6;IT;898
ITG (INLINE Technologies Group);Inline Telecom Solutions, ООО 10;IT;972961
Ростелеком;Ростелеком, ПАО 2041;IT;2748
Ростелеком;Ростелеком Информационные Технологии, ООО 117;IT;3144945
Ростелеком;Ростелеком Контакт-Центр 70;IT;3634424
Ростелеком;Ростелеком - Розничные Системы, ООО 340;IT;3782259
Ростелеком;Ростелеком-Солар 60;IT;1793216
Ростелеком;Ростелеком - Центры обработки данных 113;IT;852361
SAP СНГ*;SAP 21;IT;854
Ай-теко;Ай-Теко (I-Teco), ООО 86;IT;115
Ай-теко;Айтеко Технолоджи, ООО 1;IT;4167790
Ай-теко;ИЦ АЙ-ТЕКО, ООО 45;IT;872178
Газпром Автоматизация***;Газпром автоматизация, ПАО 14;IT;903111
Крок;КРОК 144;IT;2987
Инфосистемы Джет;Инфосистемы Джет, ООО 154;IT;3095
Центр Финансовых Технологий;Центр финансовых технологий 73;IT;8550
Центр Финансовых Технологий;Центр финансовых технологий Базис 20;IT;3129027
RRC Group;RRC 14;IT;64
RRC Group;RRC Consulting, ООО 36;IT;617221
Талмер;Талмер, ООО 4;IT;3231834
